Name  ,Desc  ,Zones  ,PType  ,DevClass  ,PreSuffx  ,Telem_CL  ,Telem_RTU  ,Telem_A  ,Telem_B  ,Telem_C  ,Open_CL  ,Open_RTU  ,Open_A  ,Open_B  ,Open_C  ,Open_D  ,Close_CL  ,Close_RTU  ,Close_A  ,Close_B  ,Close_C  ,Close_D  ,StatFmt  ,CntlInt  ,DevTO  ,Sev_State0  ,Sev_State1  ,Sev_State2  ,Sev_State3  ,Vcode_State0  ,Vcode_State1  ,Vcode_State2  ,Vcode_State3  ,Normal_State  ,Dual_Normal  ,Alarm_Task  ,Annc_Delay  ,Alarm_Fmt  ,Meter_PT  
"OP,MTXTOT  ",MOBIL TX HOT OIL TEMP  ,4  ,18  ,2  ,8  ,4  ,23  ,8  ,0  ,1  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,120  ,130  ,  
"PH,DRD     ",PH DIFF RELAY DISABLE  ,5  ,22  ,2  ,5  ,5  ,5  ,1  ,0  ,11  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,20  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,130  ,  
"BW,35C109  ",BW 2100-1 ALARM COM 9  ,4  ,22  ,2  ,26  ,4  ,25  ,4  ,0  ,5  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,5  ,130  ,  
"PS,S8W219  ",SB PSEUDO BREAKER  ,1  ,32  ,3  ,15  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,0  ,  
"PH,25YBSC  ",YARD BOX 2505 SELF CHECK  ,5  ,22  ,2  ,26  ,5  ,5  ,1  ,0  ,7  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,120  ,130  ,  
"MI,FS      ",MI FAST SCAN  ,3  ,16  ,2  ,25  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,1  ,1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,130  ,  
"MI,4LR     ",MI BKR 4 LOC/REM SW  ,3  ,22  ,2  ,13  ,3  ,35  ,0  ,0  ,11  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,1  ,1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,130  ,  
"PH,3LR     ",PH BKR 3 LOC/REM SW  ,5  ,27  ,2  ,13  ,5  ,5  ,0  ,0  ,7  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,1  ,1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,130  ,  
"GC,FS      ",GREEN COVE FAST SCAN  ,4  ,16  ,2  ,25  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,1  ,1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,130  ,  
"BC,FS      ",BC FAST SCAN  ,4  ,16  ,2  ,25  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,1  ,1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,130  ,  
