Name  ,Desc  ,Zones  ,PType  ,DevClass  ,EuText  ,Telem_CL  ,Telem_RTU  ,Telem_A  ,Telem_B  ,Telem_C  ,EU_Hi  ,EU_Lo  ,EU_Counts  ,AlogFmt  ,ZeroClmp  ,Alm_unrHi  ,Alm_emgHi  ,Alm_preHi  ,Alm_preLo  ,Alm_emgLo  ,Alm_unrLo  ,Sev_unrHi  ,Sev_emgHi  ,Sev_preHi  ,Sev_preLo  ,Sev_emgLo  ,Sev_unrLo  ,Vcode_unrHi  ,Vcode_emgHi  ,Vcode_preHi  ,Vcode_preLo  ,Vcode_emgLo  ,Vcode_unrLo  ,Dband_unr  ,Dband_emg  ,Dband_pre  ,ROC_Limit  ,ROC_Sev  ,ROC_Vcode  ,ROC_Pos  ,ROC_Neg  ,Sev_Normal  ,ALarm_Task  ,Annc_Delay  ,Annc_Delay_Pre  ,Annc_Delay_Eme  ,Annc_Delay_Unr  ,Jog  ,Rep_Except  ,Meter_PT  ,Trend_Flag  ,Auto_Flag  ,CmdSeq_Flag  
"AB,W543A   ",AB  W543 A AMPS BKR TRIP  ,7  ,3  ,1  ,AMPS  ,7  ,25  ,0  ,2  ,0  ,1.0000  ,0.0000  ,0  ,0  ,0  ,470  ,450  ,400  ,-10  ,-20  ,-30  ,1  ,1  ,1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,10  ,10  ,10  ,  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,0  ,0  ,0  ,5  ,0  ,  ,1  ,0  ,0  
"AB,W543B   ",AB  W543 B AMPS BKR TRIP  ,7  ,3  ,1  ,AMPS  ,7  ,25  ,1  ,2  ,0  ,1.0000  ,0.0000  ,0  ,0  ,0  ,470  ,450  ,400  ,-10  ,-20  ,-30  ,1  ,1  ,1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,10  ,10  ,10  ,  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,0  ,0  ,0  ,5  ,0  ,  ,1  ,0  ,0  
"AB,W543C   ",AB  W543 C AMPS BKR TRIP  ,7  ,3  ,1  ,AMPS  ,7  ,25  ,2  ,2  ,0  ,1.0000  ,0.0000  ,0  ,0  ,0  ,470  ,450  ,400  ,-10  ,-20  ,-30  ,1  ,1  ,1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,10  ,10  ,10  ,  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,0  ,0  ,0  ,5  ,0  ,  ,1  ,0  ,0  
"SG,WNDSPD  ",SG WIND SPEED  ,7  ,35  ,1  ,MPH  ,7  ,37  ,25  ,2  ,0  ,100.0000  ,0.0000  ,0  ,0  ,0  ,99  ,74  ,35  ,  ,  ,  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,1  ,0  ,0  
"KH,RC      ",CHANNEL ONE RETRY COUNT  ,1  ,16  ,1  ,  ,  ,  ,  ,  ,  ,1.0000  ,0.0000  ,0  ,0  ,0  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,0  ,0  ,0  ,1  ,0  ,  ,0  ,0  ,0  
"KH,KV1AVG  ",KH TX1 KVA AVERAGE  ,1  ,5  ,1  ,WATTS  ,  ,  ,  ,  ,  ,1.0000  ,0.0000  ,0  ,0  ,0  ,  ,  ,  ,  ,  ,  ,1  ,1  ,1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,0  ,0  
"AL,P2      ",ALACHUA TX2 ACCUMULATOR  ,5  ,14  ,1  ,WATTS  ,5  ,3  ,1  ,3  ,0  ,3.6234  ,0.0000  ,0  ,2  ,0  ,  ,  ,  ,1  ,-5  ,-10  ,4  ,4  ,4  ,4  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,1  ,1  ,1  ,  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,1  ,0  ,0  
"LC,4TOT    ",LC BRK 4 AMP TOTAL  ,3  ,3  ,1  ,AMPS  ,  ,  ,  ,  ,  ,1.0000  ,0.0000  ,0  ,0  ,0  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,1  ,0  ,0  
"SS,RC      ",CHANNEL SIX RETRY COUNT  ,7  ,16  ,1  ,  ,  ,  ,  ,  ,  ,1.0000  ,0.0000  ,0  ,0  ,0  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,0  ,0  ,0  ,1  ,0  ,  ,0  ,0  ,0  
"ME,1TOT    ",ME BRK 1 AMP TOTAL  ,1 2 3 4 5 6 7 8  ,3  ,1  ,AMPS  ,  ,  ,  ,  ,  ,1.0000  ,0.0000  ,0  ,0  ,0  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,1  ,0  ,0  
